Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0001,Finance,22,106187,9,37,78,No
EMP0002,Finance,58,107188,14,31,94,Yes
EMP0003,Sales,53,107440,20,30,57,No
EMP0004,Sales,49,111511,19,38,67,No
EMP0005,IT,48,122564,11,38,91,Yes
EMP0006,Support,27,88685,12,57,99,No
EMP0007,HR,50,97744,18,33,86,Yes
EMP0008,Operations,57,77089,7,52,73,Yes
EMP0009,Sales,39,86404,3,57,75,No
EMP0010,Operations,31,87832,12,41,80,No
EMP0011,Finance,59,96316,6,47,74,No
EMP0012,Sales,41,91314,2,37,67,Yes
EMP0013,Operations,46,95508,9,32,81,No
EMP0014,Sales,52,117583,13,58,100,Yes
EMP0015,IT,37,116139,5,37,74,No
EMP0016,Support,44,72948,8,34,60,No
EMP0017,HR,28,82171,5,50,84,Yes
EMP0018,Support,59,87619,15,46,90,No
EMP0019,HR,28,85977,18,54,73,Yes
EMP0020,IT,50,117230,1,60,92,No
EMP0021,Marketing,53,92339,6,46,95,No
EMP0022,Sales,30,90746,12,54,62,No
EMP0023,HR,59,99596,11,45,100,No
EMP0024,Marketing,36,91085,2,37,78,No
EMP0025,Finance,26,121297,16,56,93,Yes
EMP0026,R&D,56,126895,6,38,83,No
EMP0027,Support,34,86257,18,54,73,Yes
EMP0028,Operations,49,87832,17,44,67,Yes
EMP0029,Finance,42,78967,1,48,59,Yes
EMP0030,HR,35,65264,3,58,69,No
EMP0031,Finance,53,93267,8,38,70,No
EMP0032,R&D,36,131319,16,55,67,Yes
EMP0033,Finance,48,91187,12,43,54,No
EMP0034,Finance,24,108609,13,53,87,No
EMP0035,Finance,36,92206,7,36,68,No
EMP0036,Sales,25,109662,15,55,73,No
EMP0037,Finance,24,118946,18,56,80,No
EMP0038,IT,47,120952,16,45,75,No
EMP0039,HR,31,94846,13,30,84,No
EMP0040,Marketing,48,106270,18,51,74,No
EMP0041,Sales,39,93948,7,60,93,No
EMP0042,HR,24,96738,19,45,82,No
EMP0043,IT,24,120463,17,32,77,No
EMP0044,Sales,46,96236,4,60,71,No
EMP0045,HR,60,68883,3,43,66,No
EMP0046,Sales,41,89784,8,38,62,Yes
EMP0047,Marketing,50,93958,11,59,75,No
EMP0048,Finance,25,111388,18,36,70,Yes
EMP0049,Operations,25,85700,8,41,72,No
EMP0050,HR,56,90318,10,59,87,Yes
EMP0051,IT,37,111362,4,58,86,Yes
EMP0052,Sales,42,100191,7,51,84,No
EMP0053,R&D,37,106122,2,32,60,Yes
EMP0054,IT,37,106739,6,53,58,No
EMP0055,Support,56,83959,1,33,97,Yes
EMP0056,HR,44,92326,19,47,86,Yes
EMP0057,HR,40,87053,12,58,100,No
EMP0058,Sales,36,90931,4,41,61,No
EMP0059,Support,60,89594,5,59,96,No
EMP0060,IT,47,107667,1,35,64,No
EMP0061,Support,36,85689,9,35,76,Yes
EMP0062,R&D,35,129597,7,56,69,No
EMP0063,Marketing,35,84964,8,30,68,No
EMP0064,Marketing,43,100933,17,42,64,No
EMP0065,Operations,22,91270,4,58,82,No
EMP0066,HR,27,92213,20,43,73,No
EMP0067,Operations,48,102014,20,46,94,Yes
EMP0068,Support,21,99813,17,59,92,Yes
EMP0069,Sales,44,114009,14,32,100,Yes
EMP0070,Finance,40,111426,17,39,66,No
EMP0071,Support,39,90161,18,34,81,No
EMP0072,IT,60,133303,19,39,91,Yes
EMP0073,HR,40,80726,10,36,60,No
EMP0074,R&D,49,126502,7,46,81,No
EMP0075,IT,26,108630,10,46,66,No
EMP0076,Sales,40,85862,8,55,60,Yes
EMP0077,HR,36,89940,16,49,77,No
EMP0078,Sales,45,100047,16,42,71,Yes
EMP0079,HR,27,93086,14,37,88,Yes
EMP0080,Sales,28,118130,15,34,100,Yes
EMP0081,Operations,49,104808,20,56,72,No
EMP0082,R&D,31,126796,16,44,61,No
EMP0083,Marketing,54,104140,16,50,75,Yes
EMP0084,Marketing,42,99499,11,58,87,Yes
EMP0085,IT,35,122047,13,52,79,No
EMP0086,R&D,47,126396,2,36,81,Yes
EMP0087,HR,57,95044,13,45,86,Yes
EMP0088,Support,55,91733,18,55,75,No
EMP0089,R&D,35,125808,9,43,63,No
EMP0090,Support,31,80691,15,59,76,No
EMP0091,HR,46,92022,19,48,72,Yes
EMP0092,R&D,32,115111,2,38,70,No
EMP0093,R&D,41,139484,11,54,82,No
EMP0094,Marketing,26,102272,16,30,68,No
EMP0095,Operations,35,73408,3,54,78,No
EMP0096,Sales,22,105808,20,34,74,Yes
EMP0097,Finance,57,91949,7,44,68,No
EMP0098,Finance,31,97731,10,33,55,Yes
EMP0099,Marketing,57,101000,13,42,82,No
EMP0100,Sales,27,100410,10,57,72,No
EMP0101,Finance,57,80479,2,41,57,No
EMP0102,Operations,21,91681,14,56,71,Yes
EMP0103,Operations,50,87007,5,43,81,Yes
EMP0104,R&D,50,141577,14,56,88,Yes
EMP0105,Operations,36,81563,3,38,81,No
EMP0106,Support,42,72942,1,45,68,No
EMP0107,R&D,34,132067,12,55,74,No
EMP0108,Marketing,56,93133,1,46,84,Yes
EMP0109,Sales,47,108032,16,47,75,No
EMP0110,R&D,22,108830,3,39,56,No
EMP0111,Sales,40,102771,19,41,60,No
EMP0112,Operations,43,91973,15,38,77,Yes
EMP0113,Finance,33,107057,11,33,73,No
EMP0114,Sales,51,88209,9,53,45,No
EMP0115,Marketing,27,82231,7,39,76,No
EMP0116,IT,38,112166,2,31,82,Yes
EMP0117,IT,52,114043,4,57,84,Yes
EMP0118,IT,24,123168,9,60,75,No
EMP0119,Finance,46,98985,16,32,58,Yes
EMP0120,Marketing,26,88843,8,33,66,No
EMP0121,Sales,54,106292,13,44,83,No
EMP0122,Marketing,57,105138,20,31,69,No
EMP0123,Finance,34,93097,7,38,71,No
EMP0124,IT,21,124244,14,44,69,No
EMP0125,Marketing,23,88538,8,39,70,Yes
EMP0126,Sales,37,107571,19,51,56,No
EMP0127,Support,28,89793,18,37,59,Yes
EMP0128,HR,31,80170,10,49,54,No
EMP0129,Marketing,49,91044,4,44,68,No
EMP0130,R&D,49,106203,3,49,57,No
EMP0131,Operations,59,101496,9,30,100,No
EMP0132,HR,38,104152,19,31,91,No
EMP0133,R&D,54,130591,15,59,67,No
EMP0134,R&D,26,142890,16,41,100,Yes
EMP0135,Finance,31,110536,11,43,71,No
EMP0136,HR,50,67485,3,40,65,No
EMP0137,Support,53,65488,1,51,84,Yes
EMP0138,Operations,60,91192,16,50,65,No
EMP0139,Sales,38,115140,18,34,86,Yes
EMP0140,HR,59,73344,8,52,69,No
EMP0141,HR,56,82958,14,32,78,No
EMP0142,Finance,30,121890,16,59,97,Yes
EMP0143,Marketing,47,98734,16,45,75,Yes
EMP0144,IT,25,127243,9,54,90,No
EMP0145,Operations,53,99421,9,56,94,No
EMP0146,R&D,30,134185,15,47,75,Yes
EMP0147,Support,50,84918,11,57,81,Yes
EMP0148,Support,23,87149,11,53,92,No
EMP0149,Support,45,84166,5,45,81,No
EMP0150,Finance,49,102266,4,46,73,No
EMP0151,IT,47,98596,5,32,43,No
EMP0152,Support,26,86598,11,57,81,No
EMP0153,Support,41,77346,16,57,58,No
EMP0154,Marketing,35,76712,3,43,70,No
EMP0155,Finance,49,95414,6,52,74,No
EMP0156,Marketing,43,90735,12,43,77,No
EMP0157,Support,57,76167,6,35,82,No
EMP0158,Sales,52,109754,19,34,89,Yes
EMP0159,Marketing,50,106165,9,51,96,Yes
EMP0160,IT,25,122261,15,60,76,No
EMP0161,Marketing,48,91752,9,44,79,No
EMP0162,Finance,36,102281,13,48,68,No
EMP0163,Marketing,22,109651,13,38,98,No
EMP0164,HR,59,97613,16,56,76,No
EMP0165,Sales,59,99904,12,37,64,No
EMP0166,IT,27,109020,2,39,62,No
EMP0167,Operations,29,72627,3,59,69,Yes
EMP0168,Operations,54,99765,17,59,94,No
EMP0169,Marketing,51,97823,10,53,89,No
EMP0170,IT,35,122106,13,60,59,No
EMP0171,Operations,26,89538,13,30,74,No
EMP0172,Marketing,58,101411,13,56,81,No
EMP0173,Finance,35,100124,16,30,53,No
EMP0174,Sales,25,100736,15,59,55,Yes
EMP0175,Support,28,77471,5,31,84,Yes
EMP0176,Sales,55,90282,5,42,71,No
EMP0177,Support,58,72517,5,58,70,No
EMP0178,Marketing,23,95614,12,36,77,No
EMP0179,Sales,44,87314,4,51,57,No
EMP0180,Support,38,77301,7,60,94,No
EMP0181,R&D,26,110128,7,50,54,No
EMP0182,Sales,29,93424,19,36,50,No
EMP0183,Sales,58,91517,7,56,82,No
EMP0184,HR,38,75300,5,34,67,No
EMP0185,IT,28,110698,1,34,96,No
EMP0186,HR,32,76476,9,31,76,No
EMP0187,Finance,25,104936,16,44,77,No
EMP0188,Sales,60,88232,2,53,60,No
EMP0189,Marketing,50,89484,1,31,98,No
EMP0190,R&D,49,112823,3,58,74,No
EMP0191,IT,25,111717,5,38,63,No
EMP0192,Marketing,50,96498,17,49,63,Yes
EMP0193,Finance,56,94053,7,43,66,No
EMP0194,Support,47,72742,4,40,77,No
EMP0195,Marketing,44,93927,5,51,78,Yes
EMP0196,Support,27,75731,12,55,72,No
EMP0197,Operations,28,98979,14,41,95,No
EMP0198,HR,39,85661,20,39,54,Yes
EMP0199,Sales,30,108663,16,37,81,Yes
EMP0200,Marketing,57,86380,8,55,65,No
EMP0201,HR,59,81562,9,30,82,No
EMP0202,Operations,21,83397,6,57,91,Yes
EMP0203,Support,25,77424,5,53,72,No
EMP0204,Support,47,79778,15,40,72,No
EMP0205,Operations,57,106360,20,32,80,No
EMP0206,Finance,38,106447,15,51,70,No
EMP0207,R&D,47,126093,9,36,75,No
EMP0208,R&D,54,121762,10,31,69,No
EMP0209,HR,21,90820,7,39,94,Yes
EMP0210,Operations,28,79239,1,45,68,No
EMP0211,IT,45,131145,18,52,76,No
EMP0212,Finance,46,91207,2,43,90,No
EMP0213,Finance,41,106943,19,43,58,Yes
EMP0214,Support,22,83428,11,35,66,No
EMP0215,R&D,44,123248,3,43,80,No
EMP0216,Finance,46,98012,10,53,67,No
EMP0217,IT,25,136992,17,50,85,No
EMP0218,Operations,30,83399,8,33,84,Yes
EMP0219,IT,59,119835,5,54,75,No
EMP0220,R&D,50,138794,19,54,70,No
EMP0221,Operations,41,83061,5,44,86,No
EMP0222,HR,43,90485,17,32,80,No
EMP0223,HR,24,90263,12,56,71,Yes
EMP0224,Support,50,104284,19,47,91,No
EMP0225,HR,49,96364,19,50,81,Yes
EMP0226,HR,49,88031,4,55,90,No
EMP0227,Finance,53,97649,6,31,75,No
EMP0228,IT,44,121484,12,59,87,Yes
EMP0229,Operations,59,73251,2,55,67,Yes
EMP0230,Support,39,82202,9,53,67,No
EMP0231,IT,42,102032,3,48,61,No
EMP0232,Support,29,91568,20,52,52,Yes
EMP0233,Support,42,74329,5,51,66,No
EMP0234,Finance,48,94148,17,41,47,No
EMP0235,IT,34,113703,11,60,75,Yes
EMP0236,Marketing,27,99693,17,54,67,No
EMP0237,HR,42,88112,20,34,69,No
EMP0238,IT,49,105218,2,43,71,No
EMP0239,Sales,49,106083,20,39,75,No
EMP0240,Marketing,51,85413,7,41,54,No
EMP0241,R&D,50,132231,10,54,64,Yes
EMP0242,Sales,59,91496,5,57,84,Yes
EMP0243,R&D,44,150095,18,59,93,Yes
EMP0244,Finance,31,113432,9,44,88,No
EMP0245,Support,26,66436,8,56,64,No
EMP0246,Support,53,82026,12,37,78,No
EMP0247,Operations,35,87098,1,40,95,Yes
EMP0248,IT,29,112180,2,39,65,No
EMP0249,IT,51,121843,15,49,79,Yes
EMP0250,IT,56,129184,20,46,75,Yes
EMP0251,Marketing,36,102107,10,33,86,No
EMP0252,Finance,28,112282,16,49,78,Yes
EMP0253,Sales,30,103449,10,43,86,Yes
EMP0254,Finance,54,113270,12,32,75,No
EMP0255,HR,45,78555,16,31,52,No
EMP0256,Operations,25,85558,12,37,49,No
EMP0257,Finance,58,114678,11,34,89,No
EMP0258,R&D,51,119059,6,55,79,Yes
EMP0259,R&D,23,123386,10,36,82,Yes
EMP0260,Marketing,53,98447,13,56,77,No
EMP0261,HR,33,86693,10,41,77,No
EMP0262,Finance,44,105553,14,58,72,No
EMP0263,Support,42,78762,6,45,70,No
EMP0264,Finance,48,92870,3,43,64,No
EMP0265,IT,55,117893,10,40,83,Yes
EMP0266,Support,31,87675,15,41,81,Yes
EMP0267,Operations,60,81089,14,38,61,Yes
EMP0268,Support,44,86986,17,55,58,No
EMP0269,HR,30,88351,20,51,75,Yes
EMP0270,Operations,44,91743,13,60,71,Yes
EMP0271,IT,49,113155,12,41,70,No
EMP0272,Support,41,87137,9,37,76,Yes
EMP0273,IT,52,133097,17,42,80,No
EMP0274,R&D,34,142220,20,39,71,No
EMP0275,R&D,33,130223,4,34,82,No
EMP0276,Finance,41,94863,12,52,64,No
EMP0277,Marketing,40,81552,6,52,70,No
EMP0278,Sales,28,82275,7,55,56,Yes
EMP0279,R&D,22,127138,12,47,62,Yes
EMP0280,Finance,25,104896,10,42,69,No
EMP0281,Support,47,86715,19,32,82,Yes
EMP0282,Operations,29,101930,18,50,82,Yes
EMP0283,IT,48,132388,17,59,90,Yes
EMP0284,IT,31,117121,11,59,58,Yes
EMP0285,Marketing,26,82250,9,36,64,No
EMP0286,Finance,53,101677,6,48,63,No
EMP0287,IT,60,138570,20,40,83,No
EMP0288,Finance,23,112168,19,38,62,Yes
EMP0289,Support,60,75817,1,45,86,No
EMP0290,R&D,36,127780,13,39,65,Yes
EMP0291,HR,31,88039,15,43,66,Yes
EMP0292,Operations,43,96312,13,34,75,No
EMP0293,Finance,41,98308,8,44,84,Yes
EMP0294,Marketing,45,104467,20,43,84,No
EMP0295,IT,41,126413,19,53,67,No
EMP0296,R&D,52,126929,10,45,93,Yes
EMP0297,Support,53,79047,15,60,75,Yes
EMP0298,R&D,59,141493,16,39,90,Yes
EMP0299,Finance,48,95156,5,58,73,No
EMP0300,Support,24,90089,19,47,86,Yes
EMP0301,Marketing,25,97121,13,46,60,No
EMP0302,Finance,29,95564,4,42,79,No
EMP0303,Operations,56,92726,12,54,85,Yes
EMP0304,HR,23,78906,5,52,87,No
EMP0305,R&D,30,138444,20,58,64,Yes
EMP0306,Support,60,77061,10,48,73,No
EMP0307,R&D,57,132689,10,45,79,No
EMP0308,Support,58,83125,10,55,64,No
EMP0309,HR,59,102166,16,38,95,Yes
EMP0310,Sales,24,102093,19,45,70,No
EMP0311,Support,30,67025,8,31,58,Yes
EMP0312,Operations,47,82413,5,43,66,No
EMP0313,R&D,24,125799,5,46,77,No
EMP0314,Support,41,85894,6,44,85,No
EMP0315,Operations,37,102443,20,45,78,Yes
EMP0316,Marketing,39,96000,7,52,83,Yes
EMP0317,R&D,43,140515,18,59,92,Yes
EMP0318,Support,46,84515,12,60,67,No
EMP0319,Marketing,23,91447,10,60,72,No
EMP0320,R&D,34,121624,7,56,64,No
EMP0321,Marketing,29,78531,4,49,74,No
EMP0322,Sales,35,84271,2,33,66,No
EMP0323,R&D,27,125587,5,30,100,Yes
EMP0324,R&D,51,129642,7,54,67,No
EMP0325,Marketing,24,83797,3,50,61,No
EMP0326,HR,32,91323,14,58,68,Yes
EMP0327,HR,46,106372,16,35,100,Yes
EMP0328,HR,21,80925,10,48,63,Yes
EMP0329,Operations,39,96727,15,50,61,Yes
EMP0330,R&D,38,117095,7,55,71,No
EMP0331,R&D,37,124052,6,30,73,No
EMP0332,Sales,32,105014,20,57,53,No
EMP0333,Support,53,74003,11,32,70,No
EMP0334,Sales,21,93958,9,42,78,No
EMP0335,Marketing,42,95609,10,48,74,No
EMP0336,Sales,24,87376,4,44,73,No
EMP0337,Marketing,28,84988,10,41,68,No
EMP0338,R&D,59,132050,12,43,69,No
EMP0339,R&D,55,130955,7,54,75,No
EMP0340,R&D,54,144678,12,32,95,No
EMP0341,HR,56,86575,17,36,68,No
EMP0342,R&D,28,124804,7,52,71,No
EMP0343,R&D,24,122295,15,34,61,No
EMP0344,Marketing,22,101526,13,38,73,Yes
EMP0345,Sales,58,84766,3,31,58,No
EMP0346,Finance,51,95148,2,39,83,Yes
EMP0347,IT,47,121206,12,58,57,No
EMP0348,Finance,55,108944,5,50,91,Yes
EMP0349,IT,55,135577,13,46,98,Yes
EMP0350,HR,40,101081,15,51,98,Yes
EMP0351,Support,35,83108,8,44,69,No
EMP0352,Finance,23,115051,14,49,82,No
EMP0353,HR,36,82144,7,32,77,No
EMP0354,HR,36,73191,2,42,76,No
EMP0355,Sales,24,102064,5,46,83,No
EMP0356,Operations,57,102918,20,54,74,No
EMP0357,Sales,40,84208,5,51,62,Yes
EMP0358,IT,48,119918,18,45,73,No
